ids,filenames,text,type,conv
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,RE-616.txt,"[SUMMARY]
Logging of GCS related events
[DESCRIPTION]
The _ActivityLogger_ shall log all commands sent to and messages received from a _CGS_.",req,summari log gcs relat event descript activ logger shall log command sent messag receiv cgs
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-574.txt,RE-574.txt,"[SUMMARY]
Support for GCS connected UAVs
[DESCRIPTION]
The _VehicleCore_ shall support UAVs connected via the _GCS_",req,summari support gcs connect uav descript vehicl core shall support uav connect via gcs
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-549.txt,RE-549.txt,"[SUMMARY]
Manual Flight Plan Assignment
[DESCRIPTION]
If a route contains a specific {{UAV_ID}}  the _SingleUAVFlightPlanScheduler_ shall assign the route to the given UAV.",req,summari manual flight plan assign descript rout contain specif uav singl uavflight plan schedul shall assign rout given uav
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-80.txt,RE-80.txt,"[SUMMARY]
Visiting waypoints during flight plan 
[DESCRIPTION]
When a flight plan is executed  the _VehicleCore_ shall send the next waypoint to the UAV.",req,summari visit waypoint flight plan descript flight plan execut vehicl core shall send next waypoint uav
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-589.txt,RE-589.txt,"[SUMMARY]
Establish maximum number of activated UAVs
[DESCRIPTION]
When the maximum numbers of allowed activated UAVs has been reached  the _UAVActivationManager_ shall reject any further activation requests.",req,summari establish maximum number activ uav descript maximum number allow activ uav reach uavactiv manag shall reject activ request
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-576.txt,RE-576.txt,"[SUMMARY]
Support for internally simulated UAVs
[DESCRIPTION]
The _VehicleCore_ shall support virtual UAVs",req,summari support intern simul uav descript vehicl core shall support virtual uav
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-628.txt,RE-628.txt,"[SUMMARY]
UI middleware lists all saved flight routes
[DESCRIPTION]
The _UIMiddleware_ shall provide a list of all existing routes",req,summari middlewar list save flight rout descript uimiddlewar shall provid list exist rout
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-759.txt,RE-759.txt,"[SUMMARY]
Mission Planning
[DESCRIPTION]
The _MissionPlanner_ shall execute flight plans for multiple UAVs concurrently.",req,summari mission plan descript mission planner shall execut flight plan multipl uav concurr
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-611.txt,RE-611.txt,"[SUMMARY]
Logging of Flight Plan related Events
[DESCRIPTION]
The _ActivityLogger_ shall log all flight plan related events.",req,summari log flight plan relat event descript activ logger shall log flight plan relat event
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-639.txt,RE-639.txt,"[SUMMARY]
UI accepts mission plans
[DESCRIPTION]
The _UIMiddleware_ shall accept and activate a mission plan upon request.",req,summari accept mission plan descript uimiddlewar shall accept activ mission plan upon request
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-766.txt,RE-766.txt,"[SUMMARY]
Multiple Map Types
[DESCRIPTION]
The _MapComponent_ shall support different types of map layers (e.g.  terrain  satellite)",req,summari multipl map type descript map compon shall support differ type map layer terrain satellit
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-649.txt,RE-649.txt,"[SUMMARY]
Transmit Route assignments to UI Middleware
[DESCRIPTION]
When a route is assigned or removed from a UAV  the _RouteAssignmentUI_ shall notify Dronology.",req,summari transmit rout assign middlewar descript rout assign remov uav rout assign shall notifi dronolog
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-701.txt,RE-701.txt,"[SUMMARY]
Monitoring Messages
[DESCRIPTION]
The _DronologyRuntimeMonitor_ shall provide functionality to retrieve monitoring messages and distribute them to clients",req,summari monitor messag descript dronolog runtim monitor shall provid function retriev monitor messag distribut client
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-729.txt,RE-729.txt,"[SUMMARY]
UAV Commands
[DESCRIPTION]
The _GCSMiddleware_ shall forward commands sent from Dronology to a _GCS_",req,summari uav command descript gcsmiddlewar shall forward command sent dronolog gcs
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-714.txt,RE-714.txt,"[SUMMARY]
Groundstation-Middleware Communication Protocol
[DESCRIPTION]
The _GCSMiddleware _ shall follow a predefined set of steps to establish a connection between a _GCS_ and Dronology",req,summari groundstat middlewar communic protocol descript gcsmiddlewar shall follow predefin set step establish connect gcs dronolog
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-516.txt,RE-516.txt,"[SUMMARY]
Calculate distances
[DESCRIPTION]
When given two coordinates the _CoordinateSystem_ shall compute the distance between them.",req,summari calcul distanc descript given two coordin coordin system shall comput distanc
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-36.txt,RE-36.txt,"[SUMMARY]
Only one instance of each registered drone may be active any any time
[DESCRIPTION]
The _UAVActivationManager_ shall ensure that only one instance of each registered drone is active at any time.",req,summari one instanc regist drone may activ time descript uavactiv manag shall ensur one instanc regist drone activ time
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-689.txt,RE-689.txt,"[SUMMARY]
Display active routes
[DESCRIPTION]
The _RealTimeFlightUI_ shall display all currently active flight plans on the map.",req,summari display activ rout descript real time flight shall display current activ flight plan map
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-501.txt,RE-501.txt,"[SUMMARY]
Flight route defined as waypoints
[DESCRIPTION]
The _FlightRouteManager_ shall define flight routes as an ordered sequence of waypoints in which the first waypoint represents the first target location and the final waypoint represents the final target location.",req,summari flight rout defin waypoint descript flight rout manag shall defin flight rout order sequenc waypoint first waypoint repres first target locat final waypoint repres final target locat
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-677.txt,RE-677.txt,"[SUMMARY]
Delete a route
[DESCRIPTION]
The _RouteCreationUI_ shall allow a user to delete a route.",req,summari delet rout descript rout creation shall allow user delet rout
